"","Gene_name","EntrezID"
"562","Ube3a","22215"
"563","Ubp1","22221"
"564","Usf1","22278"
"565","Usf2","22282"
"566","Usp22","216825"
"567","Utf1","22286"
"568","Uxt","22294"
"569","Vgll2","215031"
"570","Wbp2","22378"
"571","Wdr75","73674"
"572","Wdr77","70465"
"573","Wtip","101543"
"574","Wwc1","211652"
"575","Wwp2","66894"
"576","Wwtr1","97064"
"577","Xbp1","22433"
"578","Yap1","22601"
"579","Yy1","22632"
"580","Zbtb16","235320"
"581","Zbtb38","245007"
"582","Zbtb7a","16969"
"583","Zc3h8","57432"
"584","Zcchc18","66995"
"585","Zeb1","21417"
"586","Zfhx3","11906"
"587","Zfp1","22640"
"588","Zfp105","22646"
"589","Zfp110","65020"
"590","Zfp111","56707"
"591","Zfp12","231866"
"592","Zfp13","22654"
"593","Zfp146","26465"
"594","Zfp148","22661"
"595","Zfp212","232784"
"596","Zfp213","449521"
"597","Zfp217","228913"
"598","Zfp219","69890"
"599","Zfp260","26466"
"600","Zfp263","74120"
"601","Zfp267","241944"
"602","Zfp280b","64453"
"603","Zfp281","226442"
"604","Zfp292","30046"
"605","Zfp322a","218100"
"606","Zfp334","228876"
"607","Zfp35","22694"
"608","Zfp354c","30944"
"609","Zfp397","69256"
"610","Zfp445","235682"
"611","Zfp46","22704"
"612","Zfp467","68910"
"613","Zfp516","329003"
"614","Zfp518b","100515"
"615","Zfp560","434377"
"616","Zfp568","243905"
"617","Zfp606","67370"
"618","Zfp612","234725"
"619","Zfp623","78834"
"620","Zfp628","232816"
"621","Zfp639","67778"
"622","Zfp647","239546"
"623","Zfp668","244219"
"624","Zfp68","24135"
"625","Zfp691","195522"
"626","Zfp7","223669"
"627","Zfp707","69020"
"628","Zfp710","209225"
"629","Zfp746","69228"
"630","Zfp770","228491"
"631","Zfp775","243372"
"632","Zfp869","66869"
"633","Zfp90","22751"
"634","Zfp937","245174"
"635","Zfp948","381066"
"636","Zfpm1","22761"
"637","Zfx","22764"
"638","Zhx2","387609"
"639","Zhx3","320799"
"640","Zic1","22771"
"641","Zic2","22772"
"642","Zic3","22773"
"643","Zim1","22776"
"644","Zkscan1","74570"
"645","Zkscan3","72739"
"646","Zkscan5","22757"
"647","Zkscan6","52712"
"648","Zmiz2","52915"
"649","Zmym5","219105"
"650","Zscan10","332221"
"651","Zscan12","22758"
"652","Zscan18","232875"
"653","Zscan21","22697"
"654","Zscan22","232878"
"655","Zxdc","80292"
"656","2700049A03Rik","76967"
"657","Actrt1","73360"
"658","Arl3","56350"
"659","Arl6","56297"
"660","Arl13b","68146"
"661","Armc9","78795"
"662","B9d1","27078"
"663","Bbs7","71492"
"664","Boc","117606"
"665","C2cd3","277939"
"666","Cc2d2a","231214"
